Variable Name,Question Text
id,ID
Income,Income
Gender,Gender
Age,Age
Age Range,Age Range
Political Affiliation,Political Affiliation
Education,What is your highest level of education? 
ethnicity,What is your race?
marrital status,What is your marital status?
climate change,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?"
Transformers,How many Transformers movies have you seen? 
books,"How many books, if any, have you read in the past year?"
ghosts,Do you believe in ghosts?
spending,"Is federal funding of scientific research too high, too low, or about right?"
choice,"If you had to choose: would you rather be smart and sad, or dumb and happy?"
shower_pee,Do you think it is acceptable or unacceptable to urinate in the shower?
